PPG,Type_1
0,0.052915
0,0.051232
0,0.061827
0,0.084597
0,0.118889
0,0.163516
0,0.216806
0,0.276682
0,0.340786
0,0.406620
0,0.471699
0,0.533708
0,0.590636
0,0.640886
0,0.683345
0,0.717408
0,0.742977
0,0.760405
0,0.770432
0,0.774089
0,0.772591
0,0.767236
0,0.759289
0,0.749893
0,0.739976
0,0.730191
0,0.720874
0,0.712025
0,0.703332
0,0.694215
0,0.683906
0,0.671539
0,0.656271
0,0.637386
0,0.614405
0,0.587176
0,0.555925
0,0.521284
0,0.484276
0,0.446255
0,0.408821
0,0.373703
0,0.342625
0,0.317179
0,0.298698
0,0.288164
0,0.286141
0,0.292744
0,0.307645
0,0.330115
0,0.359066
0,0.393161
0,0.430978
0,0.471025
0,0.511823
0,0.551992
0,0.590294
0,0.625593
0,0.656963
0,0.683701
0,0.705320
0,0.721533
0,0.732236
0,0.737480
0,0.737443
0,0.732413
0,0.722765
0,0.708947
0,0.691465
0,0.670876
0,0.647777
0,0.622795
0,0.596574
0,0.569766
0,0.543016
0,0.516947
0,0.492148
0,0.469168
0,0.448505
0,0.430598
0,0.415826
0,0.404500
0,0.396855
0,0.393043
0,0.393125
0,0.397059
0,0.404698
0,0.415781
0,0.429942
0,0.446715
0,0.465552
0,0.485848
0,0.506968
0,0.528282
0,0.549195
0,0.569180
0,0.587802
0,0.604738
0,0.619780
0,0.632840
0,0.643931
0,0.653153
0,0.660769
0,0.666968
0,0.671925
0,0.675775
0,0.678574
0,0.680177
0,0.680426
0,0.679054
0,0.675686
0,0.669867
0,0.661089
0,0.648840
0,0.632650
0,0.612155
0,0.587144
0,0.557615
0,0.523808
0,0.486229
0,0.445657
0,0.403125
0,0.359892
0,0.317394
0,0.277188
0,0.240883
0,0.210066
0,0.186221
0,0.170649
0,0.164382
0,0.168105
0,0.182091
0,0.206150
0,0.239608
0,0.281317
0,0.329705
0,0.382860
0,0.438655
0,0.494880
0,0.549396
0,0.600273
0,0.645914
0,0.685138
0,0.717232
0,0.741962
0,0.759540
0,0.770564
0,0.775930
0,0.776727
0,0.774122
0,0.769248
0,0.763097
0,0.756429
0,0.749703
0,0.743032
0,0.736171
0,0.728533
0,0.719239
0,0.707196
0,0.691206
0,0.670086
0,0.642809
0,0.608632
0,0.567227
0,0.518769
0,0.464002
0,0.404257
0,0.341409
0,0.277796
0,0.216089
0,0.159119
0,0.109696
0,0.070412
0,0.043466
0,0.030514
0,0.032549
0,0.049838
0,0.081902
0,0.127542
0,0.184913
0,0.251634
0,0.324925
0,0.401768
0,0.479072
0,0.553839
0,0.623318
0,0.685130
0,0.737370
0,0.778662
0,0.808187
0,0.825667
0,0.831311
0,0.825756
0,0.809968
0,0.785159
0,0.752696
0,0.714013
0,0.670555
0,0.623716
0,0.574810
0,0.525048
0,0.475538
0,0.427287
0,0.381224
